year,gender,sg,age_group,region,ex-smoker,non-smoker,quitter,smoker,weight
2013.0,female,C1,1,NORTH WEST,0.075,0.739,0.021,0.165,60.251
2013.0,female,C1,1,SOUTH EAST,0.199,0.626,0.014,0.161,80.942
2013.0,female,C1,1,SOUTH WEST,0.204,0.626,0.005,0.165,52.469
2013.0,female,C1,1,WEST MIDLANDS,0.123,0.78,0.031,0.067,49.729
2013.0,female,C1,1,YORKSHIRE AND THE HUMBER,0.068,0.647,0.053,0.232,63.146
2013.0,female,C1,2,EAST,0.247,0.59,0.017,0.145,67.339
2013.0,female,C1,2,EAST MIDLANDS,0.088,0.689,0.004,0.219,36.219
2013.0,female,C1,2,LONDON,0.105,0.792,0.005,0.098,113.903
2013.0,female,C1,2,NORTH EAST,0.195,0.608,0.007,0.19,22.288
2013.0,female,C1,2,NORTH WEST,0.195,0.666,0.026,0.113,70.034
2013.0,female,C1,2,SOUTH EAST,0.168,0.636,0.009,0.187,78.565
2013.0,female,C1,2,SOUTH WEST,0.185,0.655,0.018,0.142,59.352
2013.0,female,C1,2,WEST MIDLANDS,0.151,0.719,0.011,0.119,68.787
2013.0,female,C1,2,YORKSHIRE AND THE HUMBER,0.121,0.611,0.005,0.263,46.894
2013.0,female,C1,3,EAST,0.152,0.682,0.003,0.163,61.966
2013.0,female,C1,3,EAST MIDLANDS,0.168,0.566,0.004,0.261,51.694
2013.0,female,C1,3,LONDON,0.084,0.81,0.011,0.095,95.931
2013.0,female,C1,3,NORTH EAST,0.183,0.546,0.035,0.237,19.394
2013.0,female,C1,3,NORTH WEST,0.092,0.681,0.023,0.204,54.649
2013.0,female,C1,3,SOUTH EAST,0.138,0.628,0.03,0.204,98.43
2013.0,female,C1,3,SOUTH WEST,0.198,0.67,0.002,0.13,48.51
2013.0,female,C1,3,WEST MIDLANDS,0.228,0.685,0.015,0.072,61.958
2013.0,female,C1,3,YORKSHIRE AND THE HUMBER,0.082,0.669,0.025,0.224,55.48
2013.0,female,C1,4,EAST,0.15,0.692,0.05,0.109,46.054
2013.0,female,C1,4,EAST MIDLANDS,0.182,0.614,0.008,0.195,33.407
2013.0,female,C1,4,LONDON,0.138,0.726,0.005,0.131,45.72
2013.0,female,C1,4,NORTH EAST,0.217,0.444,0.031,0.307,16.595
2013.0,female,C1,4,NORTH WEST,0.153,0.703,0.048,0.096,36.582
2013.0,female,C1,4,SOUTH EAST,0.234,0.627,0.002,0.137,89.225
2013.0,female,C1,4,SOUTH WEST,0.21,0.709,0.002,0.079,49.707
2013.0,female,C1,4,WEST MIDLANDS,0.186,0.612,0.016,0.185,44.492
2013.0,female,C1,4,YORKSHIRE AND THE HUMBER,0.287,0.548,0.004,0.161,47.079
2013.0,female,C1,5,EAST,0.277,0.664,0.019,0.04,94.441
2013.0,female,C1,5,EAST MIDLANDS,0.2,0.7,0.008,0.092,85.674
2013.0,female,C1,5,LONDON,0.136,0.77,0.002,0.092,44.11
2013.0,female,C1,5,NORTH EAST,0.185,0.627,0.004,0.184,36.777
2013.0,female,C1,5,NORTH WEST,0.271,0.575,0.015,0.139,54.117
2013.0,female,C1,5,SOUTH EAST,0.241,0.669,0.02,0.071,153.79
2013.0,female,C1,5,SOUTH WEST,0.202,0.717,0.01,0.072,82.829
2013.0,female,C1,5,WEST MIDLANDS,0.297,0.626,0.012,0.065,80.254
2013.0,female,C1,5,YORKSHIRE AND THE HUMBER,0.26,0.691,0.0,0.049,56.006
2013.0,female,C2,0,EAST,0.088,0.663,0.022,0.227,12.93
2013.0,female,C2,0,EAST MIDLANDS,0.151,0.371,0.084,0.394,27.092
2013.0,female,C2,0,LONDON,0.0,0.875,0.004,0.121,47.555
2013.0,female,C2,0,NORTH EAST,0.098,0.626,0.008,0.268,12.664
2013.0,female,C2,0,NORTH WEST,0.078,0.637,0.013,0.272,79.114
2013.0,female,C2,0,SOUTH EAST,0.054,0.542,0.029,0.375,42.569
2013.0,female,C2,0,SOUTH WEST,0.034,0.718,0.005,0.242,22.207
2013.0,female,C2,0,WEST MIDLANDS,0.067,0.642,0.004,0.287,26.806
2013.0,female,C2,0,YORKSHIRE AND THE HUMBER,0.052,0.552,0.094,0.302,23.319
2013.0,female,C2,1,EAST,0.113,0.635,0.037,0.215,38.872
2013.0,female,C2,1,EAST MIDLANDS,0.288,0.615,0.002,0.095,36.644
2013.0,female,C2,1,LONDON,0.068,0.738,0.013,0.18,96.669
2013.0,female,C2,1,NORTH EAST,0.0,0.837,0.15,0.013,7.021
2013.0,female,C2,1,NORTH WEST,0.088,0.672,0.014,0.227,67.865
2013.0,female,C2,1,SOUTH EAST,0.151,0.537,0.027,0.284,52.209
2013.0,female,C2,1,SOUTH WEST,0.159,0.607,0.042,0.192,34.815
2013.0,female,C2,1,WEST MIDLANDS,0.129,0.672,0.002,0.197,43.607
2013.0,female,C2,1,YORKSHIRE AND THE HUMBER,0.174,0.487,0.039,0.3,37.738
2013.0,female,C2,2,EAST,0.137,0.539,0.009,0.315,32.567
2013.0,female,C2,2,EAST MIDLANDS,0.167,0.516,0.005,0.312,37.059
2013.0,female,C2,2,LONDON,0.051,0.825,0.007,0.116,94.359
2013.0,female,C2,2,NORTH EAST,0.404,0.4,0.003,0.193,21.851
2013.0,female,C2,2,NORTH WEST,0.114,0.658,0.042,0.186,68.944
2013.0,female,C2,2,SOUTH EAST,0.231,0.546,0.048,0.175,67.392
2013.0,female,C2,2,SOUTH WEST,0.329,0.438,0.05,0.183,29.288
2013.0,female,C2,2,WEST MIDLANDS,0.278,0.589,0.003,0.129,32.493
2013.0,female,C2,2,YORKSHIRE AND THE HUMBER,0.026,0.521,0.051,0.402,40.019
2013.0,female,C2,3,EAST,0.319,0.548,0.005,0.128,29.516
2013.0,female,C2,3,EAST MIDLANDS,0.178,0.508,0.01,0.305,29.671
2013.0,female,C2,3,LONDON,0.038,0.735,0.007,0.22,51.743
2013.0,female,C2,3,NORTH EAST,0.048,0.631,0.006,0.315,20.156
2013.0,female,C2,3,NORTH WEST,0.084,0.728,0.008,0.18,55.018
2013.0,female,C2,3,SOUTH EAST,0.153,0.632,0.028,0.186,69.749
2013.0,female,C2,3,SOUTH WEST,0.28,0.581,0.004,0.134,30.514
2013.0,female,C2,3,WEST MIDLANDS,0.09,0.655,0.022,0.233,37.456
2013.0,female,C2,3,YORKSHIRE AND THE HUMBER,0.182,0.614,0.033,0.171,34.211
2013.0,female,C2,4,EAST,0.104,0.708,0.002,0.186,29.61
2013.0,female,C2,4,EAST MIDLANDS,0.169,0.468,0.001,0.362,20.411
2013.0,female,C2,4,LONDON,0.073,0.589,0.051,0.287,22.391
2013.0,female,C2,4,NORTH EAST,0.409,0.315,0.0,0.276,18.419
2013.0,female,C2,4,NORTH WEST,0.134,0.63,0.054,0.182,38.81
2013.0,female,C2,4,SOUTH EAST,0.306,0.458,0.024,0.212,43.121
2013.0,female,C2,4,SOUTH WEST,0.169,0.647,0.025,0.159,34.036
2013.0,female,C2,4,WEST MIDLANDS,0.13,0.757,0.011,0.103,34.308
2013.0,female,C2,4,YORKSHIRE AND THE HUMBER,0.128,0.758,0.001,0.113,22.204
2013.0,female,C2,5,EAST,0.163,0.709,0.029,0.1,42.947
2013.0,female,C2,5,EAST MIDLANDS,0.35,0.64,0.0,0.01,64.895
2013.0,female,C2,5,LONDON,0.134,0.77,0.002,0.093,32.908
2013.0,female,C2,5,NORTH EAST,0.403,0.45,0.004,0.143,17.111
2013.0,female,C2,5,NORTH WEST,0.221,0.629,0.003,0.148,71.947
2013.0,female,C2,5,SOUTH EAST,0.245,0.652,0.017,0.086,101.989
2013.0,female,C2,5,SOUTH WEST,0.163,0.704,0.003,0.131,53.043
2013.0,female,C2,5,WEST MIDLANDS,0.157,0.698,0.02,0.125,47.338
2013.0,female,C2,5,YORKSHIRE AND THE HUMBER,0.168,0.665,0.004,0.163,27.955
2013.0,female,D,0,EAST,0.11,0.482,0.017,0.391,26.397
2013.0,female,D,0,EAST MIDLANDS,0.044,0.851,0.041,0.064,21.983
2013.0,female,D,0,LONDON,0.025,0.796,0.005,0.174,54.298
